#    name       date    lev    value 
  precip  2014-01-01      6 386.1351 
  precip  2014-01-01      9 392.7827 
  precip  2014-01-01     11 400.0037 
  precip  2015-01-01     -1 372.7827 
  precip  2015-01-01      3 349.0232 
  precip  2015-01-01      6 367.6898 
  precip  2015-01-01      9 381.7615 
  precip  2015-01-01     11 392.7337 
  precip  2016-01-01     -1 448.4904 
  precip  2016-01-01      3 424.9636 
  precip  2016-01-01      6 431.1448 
  precip  2016-01-01      9 424.5309 
  precip  2016-01-01     11 432.6562 
  precip  2017-01-01     -1 438.0047 
  precip  2017-01-01      3 408.5927 
  precip  2017-01-01      6 411.0822 
  precip  2017-01-01      9 408.1942 
  precip  2017-01-01     11 409.2819 
  precip  2018-01-01     -1 67.26361 
  precip  2018-01-01      3 397.0417 
  precip  2018-01-01      6 399.8243 
  precip  2018-01-01      9 415.2169 
  precip  2018-01-01     11 421.6318 
  precip  2019-01-01     -1        0 
  precip  2019-01-01      3        0 
  precip  2019-01-01      6        0 
  precip  2019-01-01      9        0 
  precip  2019-01-01     11 84.17564 
  precip  2020-01-01     -1        0 
  precip  2020-01-01      3        0 
  precip  2020-01-01      6        0 
  precip  2020-01-01      9        0 
  precip  2020-01-01     11        0 
cdo    outputtab: Processed 200 values from 1 variable over 40 timesteps [0.08s 45MB].
